Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3,Cases_28_Days,Deaths_28_Days
,Afghanistan,2022-05-25 09:20:58,33.93911,67.709953,179771,7698,,,,,Afghanistan,461.7997977360504,,,4,AFG,1002,15
,Albania,2022-05-25 09:20:58,41.1533,20.1683,275939,3497,,,,,Albania,9588.539856835085,,,8,ALB,1077,1
,Algeria,2022-05-25 09:20:58,28.0339,1.6596,265860,6875,,,,,Algeria,606.2797639727748,,,12,DZA,88,0
,Andorra,2022-05-25 09:20:58,42.5063,1.5218,42572,153,,,,,Andorra,55098.68633922216,,,20,AND,1559,0
,Angola,2022-05-25 09:20:58,-11.2027,17.8739,99433,1900,,,,,Angola,302.5381524911803,,,24,AGO,146,0
,Antarctica,2022-05-25 09:20:58,-71.9499,23.347,11,0,,,,,Antarctica,,,,10,ATA,0,0
,Antigua and Barbuda,2022-05-25 09:20:58,17.0608,-61.7964,7982,138,,,,,Antigua and Barbuda,8150.886365493016,,,28,ATG,411,3
,Argentina,2022-05-25 09:20:58,-38.4161,-63.6167,9178795,128825,,,,,Argentina,20308.96603459213,,,32,ARG,106565,283
,Armenia,2022-05-25 09:20:58,40.0691,45.0382,422939,8624,,,,,Armenia,14272.885637786285,,,51,ARM,101,2
Australian Capital Territory,Australia,2022-05-25 09:20:58,-35.4735,149.0124,127556,61,,,,,"Australian Capital Territory, Australia",29795.84209296893,,,3601,AUS,25657,11
New South Wales,Australia,2022-05-25 09:20:58,-33.8688,151.2093,2534852,3082,,,,,"New South Wales, Australia",31225.08006898251,,,3602,AUS,293835,358
Northern Territory,Australia,2022-05-25 09:20:58,-12.4634,130.8456,70455,47,,,,,"Northern Territory, Australia",28686.889250814333,,,3603,AUS,9062,7
Queensland,Australia,2022-05-25 09:20:58,-27.4698,153.0251,1154678,1008,,,,,"Queensland, Australia",22572.14348548529,,,3604,AUS,180408,158
South Australia,Australia,2022-05-25 09:20:58,-34.9285,138.6007,498300,441,,,,,"South Australia, Australia",28368.915456874467,,,3605,AUS,108761,109
Tasmania,Australia,2022-05-25 09:20:58,-42.8821,147.3272,159676,71,,,,,"Tasmania, Australia",29818.11391223156,,,3606,AUS,27380,22
Victoria,Australia,2022-05-25 09:20:58,-37.8136,144.9631,1841871,3285,,,,,"Victoria, Australia",27779.25760569541,,,3607,AUS,309186,353
Western Australia,Australia,2022-05-25 09:20:58,-31.9505,115.8605,684326,223,,,,,"Western Australia, Australia",26014.065232266403,,,3608,AUS,320725,88
,Austria,2022-05-25 09:20:58,47.5162,14.5501,4274095,19874,,,,,Austria,47456.19781488719,,,40,AUT,126642,205
,Azerbaijan,2022-05-25 09:20:58,40.1431,47.5769,792714,9710,,,,,Azerbaijan,7818.328414294062,,,31,AZE,212,3
,Bahamas,2022-05-25 09:20:58,25.025885,-78.035889,34355,810,,,,,Bahamas,8736.217348848564,,,44,BHS,857,21
,Bahrain,2022-05-25 09:20:58,26.0275,50.55,582287,1484,,,,,Bahrain,34220.31132186911,,,48,BHR,15114,9
,Bangladesh,2022-05-25 09:20:58,23.685,90.3563,1953298,29130,,,,,Bangladesh,1186.049740680612,,,50,BGD,696,3
,Barbados,2022-05-25 09:20:58,13.1939,-59.5432,79383,443,,,,,Barbados,27623.872972568563,,,52,BRB,10943,53
,Belarus,2022-05-25 09:20:58,53.7098,27.9534,982867,6978,,,,,Belarus,10401.456358610318,,,112,BLR,4750,47
Antwerp,Belgium,2022-05-25 09:20:58,51.2195,4.4024,662123,0,,,,,"Antwerp, Belgium",35636.59790762686,,,5601,BEL,17229,0
Brussels,Belgium,2022-05-25 09:20:58,50.8503,4.3517,451276,0,,,,,"Brussels, Belgium",37340.53098692474,,,5602,BEL,10006,0
East Flanders,Belgium,2022-05-25 09:20:58,51.0362,3.7373,553581,0,,,,,"East Flanders, Belgium",36538.4564612452,,,5603,BEL,16811,0
Flemish Brabant,Belgium,2022-05-25 09:20:58,50.9167,4.5833,400569,0,,,,,"Flemish Brabant, Belgium",34948.32813488341,,,5604,BEL,13318,0
Hainaut,Belgium,2022-05-25 09:20:58,50.5257,4.0621,458961,0,,,,,"Hainaut, Belgium",34142.76160301612,,,5605,BEL,12218,0
Liege,Belgium,2022-05-25 09:20:58,50.4496,5.8492,377039,0,,,,,"Liege, Belgium",34059.7764030815,,,5606,BEL,8393,0
Limburg,Belgium,2022-05-25 09:20:58,50.9739,5.342,307395,0,,,,,"Limburg, Belgium",35169.121146664715,,,5607,BEL,7238,0
Luxembourg,Belgium,2022-05-25 09:20:58,50.0547,5.4677,107372,0,,,,,"Luxembourg, Belgium",37722.29990373738,,,5608,BEL,2463,0
Namur,Belgium,2022-05-25 09:20:58,50.331,4.8221,178581,0,,,,,"Namur, Belgium",36126.23274161736,,,5609,BEL,4701,0
Unknown,Belgium,2022-05-25 09:20:58,,,56812,31710,,,,,"Unknown, Belgium",,,,5610,BEL,-421,328
Walloon Brabant,Belgium,2022-05-25 09:20:58,50.4,4.35,151827,0,,,,,"Walloon Brabant, Belgium",37618.27952992946,,,5611,BEL,4439,0
West Flanders,Belgium,2022-05-25 09:20:58,51.0536,3.1458,437872,0,,,,,"West Flanders, Belgium",36617.61705173792,,,5612,BEL,10900,0
,Belize,2022-05-25 09:20:58,17.1899,-88.4976,58749,677,,,,,Belize,14775.125056272178,,,84,BLZ,1282,1
,Benin,2022-05-25 09:20:58,9.3077,2.3158,26952,163,,,,,Benin,222.31757659983776,,,204,BEN,0,0
,Bhutan,2022-05-25 09:20:58,27.5142,90.4336,59614,21,,,,,Bhutan,7725.903692529406,,,64,BTN,1241,1
,Bolivia,2022-05-25 09:20:58,-16.2902,-63.5887,907767,21945,,,,,Bolivia,7776.619076334,,,68,BOL,3110,36
,Bosnia and Herzegovina,2022-05-25 09:20:58,43.9159,17.6791,377769,15786,,,,,Bosnia and Herzegovina,11514.4864919235,,,70,BIH,872,22
,Botswana,2022-05-25 09:20:58,-22.3285,24.6849,307126,2695,,,,,Botswana,13060.160527294956,,,72,BWA,1267,7
Acre,Brazil,2022-05-25 09:20:58,-9.0238,-70.812,124974,2002,,,,,"Acre, Brazil",14170.432061319712,,,7601,BRA,302,0
