Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Afghanistan,2022-05-26 10:20:29,33.93911,67.709953,179835,7699,,,461.96420237893005,,,4.281146606611617,4,AFG,1026,16
Albania,2022-05-26 10:20:29,41.1533,20.1683,275985,3497,,,9590.138300090346,,,1.2670978495208074,8,ALB,1056,1
Algeria,2022-05-26 10:20:29,28.0339,1.6596,265862,6875,,,606.2843248677118,,,2.585928037854225,12,DZA,89,0
Andorra,2022-05-26 10:20:29,42.5063,1.5218,42894,153,,,55515.43389633081,,,0.3566932438103231,20,AND,1881,0
Angola,2022-05-26 10:20:29,-11.2027,17.8739,99527,1900,,,302.8241600171945,,,1.9090297105308107,24,AGO,240,0
Antarctica,2022-05-26 10:20:29,-71.9499,23.347,11,0,,,,,,0.0,10,ATA,0,0
Antigua and Barbuda,2022-05-26 10:20:29,17.0608,-61.7964,8062,138,,,8232.579037660322,,,1.7117340610270404,28,ATG,491,3
Argentina,2022-05-26 10:20:29,-38.4161,-63.6167,9178795,128825,,,20308.96603459213,,,1.4035066694484406,32,ARG,106565,283
Armenia,2022-05-26 10:20:29,40.0691,45.0382,422939,8624,,,14272.885637786285,,,2.039064735103644,51,ARM,84,2
Australia,2022-05-26 10:20:29,-25.0,133.0,7117742,8336,,,27956.89658558428,,,0.1171157931827256,36,AUS,1270166,1171
Austria,2022-05-26 10:20:29,47.5162,14.5501,4276334,19876,,,47481.057914372,,,0.4647906360915682,40,AUT,122632,192
Azerbaijan,2022-05-26 10:20:29,40.1431,47.5769,792714,9710,,,7818.328414294062,,,1.2249058298453162,31,AZE,193,3
Bahamas,2022-05-26 10:20:29,25.025885,-78.035889,34355,810,,,8736.217348848564,,,2.3577354096929124,44,BHS,844,21
Bahrain,2022-05-26 10:20:29,26.0275,50.55,582694,1485,,,34244.23022561932,,,0.2548507449879353,48,BHR,15080,10
Bangladesh,2022-05-26 10:20:29,23.685,90.3563,1953328,29130,,,1186.0679567911186,,,1.4913010001392497,50,BGD,703,3
Barbados,2022-05-26 10:20:29,13.1939,-59.5432,79628,444,,,27709.12861771021,,,0.5575928065504596,52,BRB,10715,54
Belarus,2022-05-26 10:20:29,53.7098,27.9534,982867,6978,,,10401.456358610318,,,0.7099638099559757,112,BLR,4094,42
Belgium,2022-05-26 10:20:29,50.8333,4.469936,4147568,31727,,,36088.90245505798,,,0.7649543057521901,56,BEL,111455,345
Belize,2022-05-26 10:20:29,17.1899,-88.4976,58873,677,,,14806.310531888406,,,1.149932906425696,84,BLZ,1396,1
Benin,2022-05-26 10:20:29,9.3077,2.3158,26952,163,,,222.31757659983776,,,0.6047788661323835,204,BEN,0,0
Bhutan,2022-05-26 10:20:29,27.5142,90.4336,59614,21,,,7725.903692529406,,,0.0352266246183782,64,BTN,971,1
Bolivia,2022-05-26 10:20:29,-16.2902,-63.5887,907958,21946,,,7778.255326873599,,,2.41707215531996,68,BOL,3009,35
Bosnia and Herzegovina,2022-05-26 10:20:29,43.9159,17.6791,377769,15786,,,11514.4864919235,,,4.178744153172971,70,BIH,821,22
Botswana,2022-05-26 10:20:29,-22.3285,24.6849,307126,2695,,,13060.160527294956,,,0.877490020382514,72,BWA,1267,7
Brazil,2022-05-26 10:20:29,-14.235,-51.9253,30851191,666261,,,14514.14978294374,,,2.1595957186871653,76,BRA,452187,2911
Brunei,2022-05-26 10:20:29,4.5353,114.7277,147271,222,,,33663.25091489269,,,0.1507425087084354,96,BRN,5740,4
Bulgaria,2022-05-26 10:20:29,42.7339,25.4858,1164122,37115,,,16753.705325436124,,,3.1882397205791144,100,BGR,8735,228
Burkina Faso,2022-05-26 10:20:29,12.2383,-1.5616,20899,384,,,99.97953431036032,,,1.8374084884444235,854,BFA,34,1
Burma,2022-05-26 10:20:29,21.9162,95.956,613256,19434,,,1127.1059030291494,,,3.168986524387857,104,MMR,454,0
Burundi,2022-05-26 10:20:29,-3.3731,29.9189,41927,38,,,352.60089307842776,,,0.0906337205142271,108,BDI,2293,0
Cabo Verde,2022-05-26 10:20:29,16.5388,-23.0418,56177,401,,,10103.995050252885,,,0.7138152624739662,132,CPV,163,0
Cambodia,2022-05-26 10:20:29,11.55,104.9167,136262,3056,,,815.0142733066526,,,2.2427382542454977,116,KHM,27,0
Cameroon,2022-05-26 10:20:29,3.848,11.5021,119947,1930,,,451.848167383062,,,1.6090439944308736,120,CMR,167,3
Canada,2022-05-26 10:20:29,60.001,-95.001,3870603,40838,,,10120.25328171954,,,1.055081081681588,124,CAN,129075,1782
Central African Republic,2022-05-26 10:20:29,6.6111,20.9394,14649,113,,,303.30674542275773,,,0.7713837121987849,140,CAF,0,0
Chad,2022-05-26 10:20:29,15.4542,18.7322,7417,193,,,45.15441171143622,,,2.602130241337468,148,TCD,6,0
Chile,2022-05-26 10:20:29,-35.6751,-71.543,3657188,57835,,,19131.34555078363,,,1.5814062607664687,152,CHL,105805,367
China,2022-05-26 10:20:29,30.5928,114.3055,2409622,14597,,,170.67986356762805,,,0.605779661706276,156,CHN,310328,439
