Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Australian Capital Territory,Australia,2022-05-27 14:31:54,-35.4735,149.0124,129263,61,,,,30194.58070544265,,,0.0471906113891832,3601,AUS,,,26043,11
New South Wales,Australia,2022-05-27 14:31:54,-33.8688,151.2093,2554405,3121,,,,31465.939886671596,,,0.122181095010384,3602,AUS,,,287801,372
Northern Territory,Australia,2022-05-27 14:31:54,-12.4634,130.8456,71036,49,,,,28923.452768729643,,,0.0689791091840756,3603,AUS,,,8129,6
Queensland,Australia,2022-05-27 14:31:54,-27.4698,153.0251,1164781,1027,,,,22769.641286286776,,,0.088171081087346,3604,AUS,,,178342,164
South Australia,Australia,2022-05-27 14:31:54,-34.9285,138.6007,505292,443,,,,28766.979789353827,,,0.0876720787188398,3605,AUS,,,102754,101
Tasmania,Australia,2022-05-27 14:31:54,-42.8821,147.3272,161419,71,,,,30143.60410830999,,,0.0439849088397276,3606,AUS,,,26827,21
Victoria,Australia,2022-05-27 14:31:54,-37.8136,144.9631,1865386,3359,,,,28135.959818398467,,,0.1800699694326,3607,AUS,,,312739,411
Western Australia,Australia,2022-05-27 14:31:54,-31.9505,115.8605,705723,236,,,,26827.453812818367,,,0.0334408826125831,3608,AUS,,,325314,94
Antwerp,Belgium,2022-05-27 14:31:54,51.2195,4.4024,662720,0,,,,35444.68987500869,,,0.0,5601,BEL,,,14123,0
Brussels,Belgium,2022-05-27 14:31:54,50.8503,4.3517,451671,0,,,,37075.24286787249,,,0.0,5602,BEL,,,8107,0
East Flanders,Belgium,2022-05-27 14:31:54,51.0362,3.7373,554180,0,,,,36333.59667727692,,,0.0,5603,BEL,,,14095,0
Flemish Brabant,Belgium,2022-05-27 14:31:54,50.9167,4.5833,401112,0,,,,34702.98301758976,,,0.0,5604,BEL,,,11282,0
