Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Delta_Confirmed,Delta_Recovered,Incident_Rate,People_Tested,People_Hospitalized,Province_State,FIPS,UID,iso3,Report_Date_String,Delta_Deaths,Doses_Admin,Delta_Doses_Admin
Afghanistan,4/24/22,178689,7682,,,41,,459.0203317423673,,,,,4,AFG,2022/04/24,1,5948889,0
Afghanistan,4/25/22,178745,7683,,,56,,459.164185804887,,,,,4,AFG,2022/04/25,1,5948889,0
Afghanistan,4/26/22,178769,7683,,,24,,459.22583754596684,,,,,4,AFG,2022/04/26,0,5948889,0
Afghanistan,4/27/22,178809,7683,,,40,,459.3285904477666,,,,,4,AFG,2022/04/27,0,5986139,37250
Afghanistan,4/28/22,178850,7683,,,41,,459.4339121721113,,,,,4,AFG,2022/04/28,0,5986139,0
Afghanistan,4/29/22,178873,7683,,,23,,459.49299509064616,,,,,4,AFG,2022/04/29,0,5986139,0
Afghanistan,4/30/22,178879,7683,,,6,,459.50840802591614,,,,,4,AFG,2022/04/30,0,5986139,0
Afghanistan,5/1/22,178899,7683,,,20,,459.559784476816,,,,,4,AFG,2022/05/01,0,5986139,0
Afghanistan,5/2/22,178901,7683,,,2,,459.56492212190597,,,,,4,AFG,2022/05/02,0,5986139,0
Afghanistan,5/5/22,178905,7684,,,4,,459.57519741208597,,,,,4,AFG,2022/05/05,1,6021468,7244
Afghanistan,5/6/22,178919,7684,,,14,,459.6111609277159,,,,,4,AFG,2022/05/06,0,6021468,0
Afghanistan,5/7/22,178922,7684,,,3,,459.61886739535083,,,,,4,AFG,2022/05/07,0,6021468,0
Afghanistan,5/8/22,178981,7684,,,59,,459.7704279255055,,,,,4,AFG,2022/05/08,0,6023425,1957
Afghanistan,5/9/22,179010,7685,,,29,,459.8449237793103,,,,,4,AFG,2022/05/09,1,6023425,0
Afghanistan,5/10/22,179017,7685,,,7,,459.86290553712524,,,,,4,AFG,2022/05/10,0,6023425,0
Afghanistan,5/11/22,179131,7686,,,114,,460.15575130725455,,,,,4,AFG,2022/05/11,1,6029737,6312
Afghanistan,5/12/22,179169,7686,,,38,,460.2533665639643,,,,,4,AFG,2022/05/12,0,6029737,0
Afghanistan,5/13/22,179203,7686,,,34,,460.34070653049406,,,,,4,AFG,2022/05/13,0,6029737,0
Afghanistan,5/14/22,179242,7687,,,39,,460.4408906097488,,,,,4,AFG,2022/05/14,1,6029737,0
Afghanistan,5/15/22,179267,7690,,,25,,460.5051111733737,,,,,4,AFG,2022/05/15,3,6029737,0
Afghanistan,5/16/22,179321,7691,,,54,,460.6438275908033,,,,,4,AFG,2022/05/16,1,6066579,36842
Afghanistan,5/17/22,179328,7691,,,7,,460.66180934861825,,,,,4,AFG,2022/05/17,0,6066579,0
Afghanistan,5/18/22,179477,7691,,,149,,461.04456390782235,,,,,4,AFG,2022/05/18,0,6066579,0
Afghanistan,5/19/22,179597,7695,,,120,,461.3528226132216,,,,,4,AFG,2022/05/19,4,6066579,0
Afghanistan,5/20/22,179624,7695,,,27,,461.42218082193637,,,,,4,AFG,2022/05/20,0,6066579,0
Afghanistan,5/21/22,179674,7697,,,50,,461.55062194918605,,,,,4,AFG,2022/05/21,2,6066579,0
Albania,4/24/22,274828,3496,,,37,,9549.933977343804,,,,,8,ALB,2022/04/24,0,2815381,0
Albania,4/26/22,274862,3496,,,34,,9551.115435402044,,,,,8,ALB,2022/04/26,0,2815381,0
Albania,4/27/22,274929,3496,,,67,,9553.443602752102,,,,,8,ALB,2022/04/27,0,2827375,11994
Albania,4/28/22,275002,3496,,,73,,9555.980262700674,,,,,8,ALB,2022/04/28,0,2827375,0
Albania,4/29/22,275055,3496,,,53,,9557.82194732087,,,,,8,ALB,2022/04/29,0,2827375,0
Albania,4/30/22,275107,3496,,,52,,9559.628883174648,,,,,8,ALB,2022/04/30,0,2827375,0
Albania,5/1/22,275167,3496,,,60,,9561.713809159775,,,,,8,ALB,2022/05/01,0,2827375,0
Albania,5/2/22,275177,3496,,,10,,9562.061296823962,,,,,8,ALB,2022/05/02,0,2827375,0
Albania,5/3/22,275191,3496,,,14,,9562.547779553826,,,,,8,ALB,2022/05/03,0,2837346,9971
Albania,5/4/22,275211,3496,,,20,,9563.242754882202,,,,,8,ALB,2022/05/04,0,2837346,0
Albania,5/5/22,275266,3496,,,55,,9565.153937035235,,,,,8,ALB,2022/05/05,0,2837346,0
Albania,5/6/22,275310,3496,,,44,,9566.682882757663,,,,,8,ALB,2022/05/06,0,2837346,0
Albania,5/7/22,275341,3496,,,31,,9567.760094516645,,,,,8,ALB,2022/05/07,0,2837346,0
Albania,5/8/22,275366,3497,,,25,,9568.628813677115,,,,,8,ALB,2022/05/08,1,2837346,0
Albania,5/9/22,275372,3497,,,6,,9568.837306275627,,,,,8,ALB,2022/05/09,0,2837346,0
Albania,5/10/22,275416,3497,,,44,,9570.366251998053,,,,,8,ALB,2022/05/10,0,2837346,0
Albania,5/11/22,275440,3497,,,24,,9571.200222392104,,,,,8,ALB,2022/05/11,0,2837346,0
Albania,5/12/22,275485,3497,,,45,,9572.763916880951,,,,,8,ALB,2022/05/12,0,2837346,0
Albania,5/13/22,275534,3497,,,49,,9574.466606435471,,,,,8,ALB,2022/05/13,0,2837346,0
Albania,5/14/22,275574,3497,,,40,,9575.856557092224,,,,,8,ALB,2022/05/14,0,2837346,0
Albania,5/15/22,275615,3497,,,41,,9577.281256515394,,,,,8,ALB,2022/05/15,0,2837346,0
Albania,5/16/22,275621,3497,,,6,,9577.489749113907,,,,,8,ALB,2022/05/16,0,2825500,
Albania,5/17/22,275688,3497,,,67,,9579.817916463966,,,,,8,ALB,2022/05/17,0,2825500,0
Albania,5/18/22,275732,3497,,,44,,9581.346862186392,,,,,8,ALB,2022/05/18,0,2825500,0
Albania,5/21/22,275838,3497,,,106,,9585.030231426785,,,,,8,ALB,2022/05/21,0,2840948,0
Algeria,4/24/22,265767,6875,,,6,,606.0676823582053,,,,,12,DZA,2022/04/24,1,13704895,0
Algeria,4/25/22,265771,6875,,,4,,606.0768041480792,,,,,12,DZA,2022/04/25,0,13704895,0
Algeria,4/26/22,265772,6875,,,1,,606.0790845955477,,,,,12,DZA,2022/04/26,0,13704895,0
Algeria,4/27/22,265773,6875,,,1,,606.0813650430161,,,,,12,DZA,2022/04/27,0,13704895,0
Algeria,4/28/22,265776,6875,,,3,,606.0882063854217,,,,,12,DZA,2022/04/28,0,13704895,0
Algeria,4/29/22,265779,6875,,,3,,606.0950477278271,,,,,12,DZA,2022/04/29,0,13772044,67149
Algeria,4/30/22,265780,6875,,,1,,606.0973281752956,,,,,12,DZA,2022/04/30,0,13772044,0
Algeria,5/1/22,265782,6875,,,2,,606.1018890702326,,,,,12,DZA,2022/05/01,0,13772044,0
Algeria,5/5/22,265786,6875,,,4,,606.1110108601066,,,,,12,DZA,2022/05/05,0,15205854,0
Algeria,5/6/22,265791,6875,,,5,,606.122413097449,,,,,12,DZA,2022/05/06,0,15205854,0
Algeria,5/7/22,265794,6875,,,3,,606.1292544398544,,,,,12,DZA,2022/05/07,0,15205854,0
Algeria,5/8/22,265798,6875,,,4,,606.1383762297285,,,,,12,DZA,2022/05/08,0,15205854,0
Algeria,5/9/22,265800,6875,,,2,,606.1429371246654,,,,,12,DZA,2022/05/09,0,15205854,0
Algeria,5/10/22,265804,6875,,,4,,606.1520589145393,,,,,12,DZA,2022/05/10,0,15205854,0
Algeria,5/11/22,265806,6875,,,2,,606.1566198094764,,,,,12,DZA,2022/05/11,0,15205854,0
Algeria,5/12/22,265808,6875,,,2,,606.1611807044134,,,,,12,DZA,2022/05/12,0,15205854,0
Algeria,5/13/22,265814,6875,,,6,,606.1748633892242,,,,,12,DZA,2022/05/13,0,15205854,0
Algeria,5/14/22,265816,6875,,,2,,606.1794242841613,,,,,12,DZA,2022/05/14,0,15205854,0
Algeria,5/15/22,265818,6875,,,2,,606.1839851790983,,,,,12,DZA,2022/05/15,0,15205854,0
Algeria,5/16/22,265823,6875,,,5,,606.1953874164407,,,,,12,DZA,2022/05/16,0,15205854,0
Algeria,5/17/22,265828,6875,,,5,,606.2067896537832,,,,,12,DZA,2022/05/17,0,15205854,0
Algeria,5/18/22,265834,6875,,,6,,606.220472338594,,,,,12,DZA,2022/05/18,0,15205854,0
Algeria,5/19/22,265841,6875,,,7,,606.2364354708735,,,,,12,DZA,2022/05/19,0,15205854,0
Algeria,5/20/22,265847,6875,,,6,,606.2501181556845,,,,,12,DZA,2022/05/20,0,15205854,0
Algeria,5/21/22,265851,6875,,,4,,606.2592399455584,,,,,12,DZA,2022/05/21,0,15205854,0
Andorra,4/24/22,41013,153,,,0,,53080.95515433896,,,,,20,AND,2022/04/24,0,152301,0
Andorra,4/28/22,41349,153,,,336,,53515.82217045234,,,,,20,AND,2022/04/28,0,152301,0
Andorra,5/4/22,41717,153,,,368,,53992.10509286223,,,,,20,AND,2022/05/04,0,152463,0
Andorra,5/12/22,42156,153,,,439,,54560.2795573675,,,,,20,AND,2022/05/12,0,152694,0
Andorra,5/18/22,42572,153,,,416,,55098.68633922216,,,,,20,AND,2022/05/18,0,152694,0
Andorra,5/21/22,42572,153,,,0,,55098.68633922216,,,,,20,AND,2022/05/21,0,152694,0
Angola,4/24/22,99287,1900,,,0,,302.0939280358817,,,,,24,AGO,2022/04/24,0,18756893,0
Angola,5/21/22,99287,1900,,,0,,302.0939280358817,,,,,24,AGO,2022/05/21,0,17896626,0
Antarctica,4/24/22,11,0,,,0,,,,,,,10,ATA,2022/04/24,0,,
Antarctica,5/21/22,11,0,,,0,,,,,,,10,ATA,2022/05/21,0,,
Antigua and Barbuda,4/24/22,7571,135,,,0,,7731.190262233477,,,,,28,ATG,2022/04/24,0,135443,0
Antigua and Barbuda,4/28/22,7604,136,,,33,,7764.888489502491,,,,,28,ATG,2022/04/28,1,135605,162
Antigua and Barbuda,4/29/22,7626,136,,,22,,7787.353974348501,,,,,28,ATG,2022/04/29,0,135605,0
Antigua and Barbuda,5/4/22,7654,137,,,28,,7815.946409607058,,,,,28,ATG,2022/05/04,1,135605,0
Antigua and Barbuda,5/5/22,7663,137,,,9,,7825.1368352258805,,,,,28,ATG,2022/05/05,0,135605,0
Antigua and Barbuda,5/11/22,7721,137,,,58,,7884.364022547177,,,,,28,ATG,2022/05/11,0,135605,0
